Sales Order Shipment Details,销售订单出货明细
No shipment records found,暂无出货记录
No data,暂无数据
Fetching sales shipment details...,正在获取销售出货明细...
Sales Shipment Details,销售出货明细
Open full report,打开完整报表
导出报表,导出报表
Export report,导出报表
Sales Order {0} is not submitted.,销售订单 {0} 未提交。
Sales Order {0} not found.,未找到销售订单 {0}。
Missing Sales Order read permission.,缺少 Sales Order 读取权限。
正在获取销售出货明细...,正在获取销售出货明细...
销售出货明细,销售出货明细
销售出库单,销售出库单
出货次数,出货次数
出货日期,出货日期
已出,已出
未出,未出
暂无出货记录,暂无出货记录
Purchase Order,采购订单
Purchase Order Delivery Details,采购订单交货详情
Fetching purchase delivery details...,正在获取采购交货详情...
Purchase Delivery Details,采购交货详情
物料编码,物料编码
物料名称,物料名称
单位,单位
订单数量,订单数量
最新交期,最新交期
交货次数,交货次数
交货日期,交货日期
采购收货单,采购收货单
已交,已交
未交,未交
打开完整报表,打开完整报表
暂无交货记录,暂无交货记录
未交货,未交货
共 {0} 次交货,共 {0} 次交货
交货{0},交货{0}
未找到采购订单 {0},未找到采购订单 {0}
缺少 Purchase Order 读取权限,缺少 Purchase Order 读取权限
采购交货详情,采购交货详情
Negative Stock,负库存
Allow negative stock,允许负库存
Quantity Tolerance,数量容差
Over Picking Allowance (%),允许超量拣货(%)
Display & Data Formatting,显示与数据格式
Show barcode field in stock transactions,在库存单据中显示条码字段
Convert Item description to clean HTML in transactions,在单据中将物料描述转换为纯HTML
Internal Transfer Rules,内部调拨规则
Allow internal transfers at user-defined rate,允许内部调拨使用自定义价格
Validate Material Transfer warehouses,校验物料调拨仓库
This can be enabled at specific Item level as well,也可以在具体物料上单独启用
"If enabled, the item rate won't adjust to the valuation rate during internal transfers, but accounting will still use the valuation rate. This will allow the user to specify a different rate for printing or taxation purposes.",启用后，内部调拨时物料价格不会调整为库存估值价，但会计核算仍使用库存估值价。这允许用户为打印或税务目的指定不同的价格。
"If enabled, the source and target warehouse in the Material Transfer Stock Entry must be different else an error will be thrown. If inventory dimensions are present, same source and target warehouse can be allowed but atleast any one of the inventory dimension fields must be different.",启用后，物料调拨库存单据中的源仓库与目标仓库必须不同，否则将报错。如果存在库存维度，则允许源仓库与目标仓库相同，但至少有一个库存维度字段必须不同。
Defaults,默认值
UOM Defaults,计量单位默认值
Warehouse Defaults,仓库默认值
Document Naming,单据命名
Serial Item settings,序列号物料设置
Batch Item settings,批次物料设置
Naming Series options,编号规则选项
Configure Series,配置编号规则
Auto insert Item Price if missing,物料价格缺失时自动插入
Update existing Price List Rate,更新现有价格表价格
Update Price List based on,价格表更新依据
Allow to edit stock UOM qty for Sales documents,允许编辑销售单据中的库存单位数量
Allow to edit stock UOM qty for Purchase documents,允许编辑采购单据中的库存单位数量
Allow to edit stock UOM qty for Stock Entry,允许编辑库存单据中的库存单位数量
Allow UOM with conversion rate defined in Item,仅允许使用物料中已定义换算率的计量单位
Activate Serial / Batch No for Item,启用物料序列号/批号
Disable Serial No and Batch selector,禁用序列号和批次选择器
Use Serial / Batch fields,使用序列号/批次字段
Do not update Serial / Batch on creation of auto bundle,自动创建批次包时不更新序列号/批次
Do not use Batch-wise Valuation,不按批次计算成本价
Have default Naming Series for Batch ID?,批次ID使用默认编号规则？
Allow negative stock for Batch,允许批次负库存
Auto create Serial and Batch Bundle for outward,出库时自动创建序列号和批次包
Enable stock reservation,启用库存预留
Auto reserve stock,自动预留库存
Allow partial reservation,允许部分预留
Auto reserve Stock for Sales Order on Purchase,采购时自动为销售订单预留库存
Auto reserve Serial and Batch Nos,自动预留序列号和批号
Allow to make Quality Inspection after Purchase / Delivery,允许在采购/交付后进行质量检验
Action if Quality Inspection is rejected,质量检验不合格时的操作
Action if Quality Inspection is not submitted,未提交质量检验时的操作
Raise Material Request when stock reaches re-order level,库存达到再订货点时自动创建物料需求
Notify by email on creation of automatic Material Request,自动创建物料需求时发送邮件通知
Stock frozen up to,库存冻结至
Freeze stocks older than (days),冻结超过（天）的库存
Role allowed to edit frozen stock,允许编辑冻结库存的角色
Role allowed to create/edit back-dated transactions,允许创建/编辑补录历史单据的角色
This option is useful if you want to ensure a constant supply of raw materials/products and avoid shortage. A Material Request will be raised automatically when stock reached the re-order level defined in the Item form.,如果您希望确保原材料/产品的持续供应并避免缺货，此选项非常有用。当库存达到物料表单中定义的再订货点时，系统将自动创建物料需求。
An email will be sent to notify the User with the role 'Purchase Manager' when an automatic Material Request is created.,"当自动创建物料需求时，系统将发送邮件通知具有""采购经理""角色的用户。"
This will be applied if no naming series is configured in Item master,如果物料主数据中未配置编号规则，将应用此设置
"If enabled, users must enter Serial No. / Batch data manually instead of using the selector dialog.",启用后，用户必须手动输入序列号/批次数据，而不能使用选择器对话框。
"If enabled, do not update serial / batch values in the stock transactions on creation of auto Serial 
 / Batch Bundle. ",启用后，自动创建序列号/批次包时，不更新库存单据中的序列号/批次值。
"If enabled, the system will allow negative stock entries for the batch. But, this may lead to incorrect valuation rates, so it is recommended to avoid using this option. The system will permit negative stock only when it is caused by backdated entries and will validate and block negative stock in all other cases.",启用后，系统将允许该批次出现负库存。但这可能导致成本价计算不正确，建议避免使用此选项。系统仅允许由补录历史单据导致的负库存，其他所有情况下都会校验并阻止负库存。
Check Availability in Warehouse,库存检查仓库
Request for,补货仓库
Serial Nos / Batches,序列号/批次
Enable Parallel Reposting,启用并行追溯调整
No of Parallel Reposting (Per Item),并行追溯调整数量（每个物料）
Enable Separate Reposting for GL,启用总账单独追溯调整
Do not fetch incoming rate from Serial No,不从序列号获取入库成本价
"For legacy serial nos, do not fetch incoming rate from serial no and calculate it based on the inward transaction",对于旧版序列号，不从序列号获取入库成本价，而是根据入库交易计算
Auto Created (Reorder),自动创建（重订货）
Auto create assets on purchase,采购时自动创建资产
Purchase Tax Withholding Category,采购预扣税类别
Sales Tax Withholding Category,销售预扣税类别
Inventory Valuation,库存计价
Item Attributes,物料属性
Disabled items cannot be selected in any transaction.,禁用的物料不能在任何单据中选择。
Allow substituting this item with an alternative from the Item Alternative list when stock is unavailable.,"库存不足时，允许用""替代物料""列表中的替代物料替换此物料。"
ERPNext will make a stock ledger entry for each transaction of this item. Keep unchecked for non-stock or service items.,ERPNext 将为此物料的每笔交易生成库存台账分录。非库存物料或服务类物料请保持未勾选。
